"CellId","AltFreq","AltPos","SepBF","Pval1","Pval2","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","MlpxRate","PrState1","Switch12","Switch21","ProbMlpx","PvalSep","PrBinSep","MinSampSize","Pswitch0_10","Pswitch10_20","Pswitch20_30","Pswitch30_40","Pswitch40_50","Pswitch50_60","Pswitch60_70","Pswitch70_80","Pswitch80_90","Pswitch90_100","Rule_5_5_5","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS75_Median","LS125_Median","LS200_Median","LS300_Median","LS500_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"PSIC111610Loc_DoubleSound",1100,-24,37.6358,0.163,0.5623,0.946933435,0.044590855,1.49e-06,0.008474222,"Mixture",0.946933435,0.43,0.36,0.45,0.33,0.38,0.01,0,8,0,1,0,2,1,0,1,0,0,0,TRUE,NA,0.289945983943665,0.127408140717131,NA,1.60508590614118,NA,0.23,0.14,0.18,0.1,0.08,0.09,0.05,0.09,0.02,0.02,0.0228260652569831,0.0236916551843128,0.069558770167723,0.102537263663049,0.0657969118641171,0.390193172196827,0.285367846326376,0.575927802500833,2.05886037135394,1.07011813931093,0,0.075,0.25,0.183333333333333,0.1,0.0666666666666667,0.125,0.0583333333333333,0.141666666666667,0,0.94,0.42,0.19
"YKIC140130Loc_DoubleSound",500,24,91.2166,0.3136,0.2537,0.060939405,0.939060595,6.92e-30,2.99e-14,"Average",0.939060595,0.62,0.61,0.48,0.47,0.83,0,0,11,3,2,2,1,3,4,3,5,7,7,TRUE,1,0.30552316943065,0.303172074046345,0.747616525586798,1.78892849420774,0.328464799297587,0.15,0.17,0.18,0.21,0.1,0.1,0.02,0.05,0.01,0.01,0.162278671591337,0.0576339774671767,0.0992354528808165,0.0194762115761879,0.261147279256953,0.51536872276493,0.730296329368671,0.494474703466481,1.91129253464907,1.87430084970185,0,0.108108108108108,0.0222575516693164,0.149443561208267,0.179650238473768,0.189189189189189,0.123211446740859,0.208267090620032,0.019872813990461,0,1.15,0.42,0.1
"YKIC092311_1Loc_DoubleSound",903,24,23.7597,0.5641,0.498,0.021611086,0.936365996,0.000588726,0.041434191,"Average",0.936365996,0.7,0.33,0.48,0.36,0.8,0,0,7,0,0,0,0,0,0,1,3,2,0,TRUE,NA,0.317375643672115,0.188611120662603,NA,1.64973915679557,NA,0.13,0.19,0.16,0.12,0.1,0.08,0.1,0.05,0.07,0,0.0761229164818632,0.062645308768043,0.0699266085433269,0.0273336949419976,0.039907960249554,0.353201160705842,0.346585992929006,0.507863139527337,6.33533893478435,1.62634423361681,0,0.0208333333333333,0.131944444444444,0.583333333333333,0.180555555555556,0.0833333333333333,0,0,0,0,1.14,0.55,0.28
"YKIC131213Loc_DoubleSound",500,24,36.3209,0.3418,0.5441,0.016047484,0.934070678,9.49e-05,0.04978691,"Average",0.934070678,0.75,0.77,0.36,0.64,0.88,0,0,7,0,0,0,0,0,1,1,2,2,4,TRUE,1,0.115721402549293,0.0671540220414162,0.383432344502617,3.79760318823545,0.656182691664196,0.47,0.22,0.09,0.08,0.03,0.05,0.03,0.02,0,0.01,0.219727672778636,0.193735040643988,0.00498098700161949,0.01421940710657,0.0130546356370167,0.617156351139914,0.646669091260419,0.567707078182566,7.73180870316366,5.30078720382407,0,0,0,0,0.0166666666666667,0.4,0.583333333333333,0,0,0,0.36,0.14,0.06
"YKIC092911_1Loc_DoubleSound",1100,-6,5.9476,0.4318,0.4863,0.93351999,0.016380021,0.000133009,0.049966979,"Mixture",0.93351999,0.22,0.82,0.23,0.32,0.13,0.01,0,5,0,12,4,0,0,0,0,0,0,0,TRUE,NA,0.0163666247461117,0.00976649107980992,0.229379062121886,14.252483475954,1.03050815307951,0.79,0.04,0.06,0.04,0.02,0.03,0.01,0.01,0,0,0.070339632068006,0.0242008215899464,0.189748449864689,0.115270243984223,0.0557497605960332,0.973175553063506,0.972834724829301,0.369762309069989,35.9425487637385,2.04001237492893,0,0,0.0260416666666667,0.1171875,0.0260416666666667,0.0182291666666667,0,0,0,0.8125,0.25,0.09,0.02
"YKIC100111_1Loc_DoubleSound",609,-6,21.0721,0.438,0.2398,0.020147751,0.931962562,0.007272446,0.040617242,"Average",0.931962562,0.5,0.24,0.43,0.39,0.5,0,0,5,0,0,2,4,0,1,4,2,0,0,TRUE,NA,0.308703987220711,0.278948277848589,0.855738200736121,2.14278870045739,0.130400148913244,0.08,0.16,0.24,0.19,0.12,0.1,0.08,0.01,0.02,0,0.00711769315028537,0.184231224532773,0.0474167855079394,0.170565757860335,0.00945114821379798,0.400901716040791,0.508475971851792,0.400370283924614,3.11210644664328,2.42305530508937,0,0.131410256410256,0.176282051282051,0.192307692307692,0.243589743589744,0.256410256410256,0,0,0,0,1.01,0.38,0.12
"YKIC110211_1Loc_DoubleSound",500,-6,26.5393,0.3383,0.1215,0.015220219,0.931712932,4.39e-05,0.053022946,"Average",0.931712932,0.51,0.83,0.24,0.36,0.52,0,0,7,0,0,0,1,2,6,1,0,0,0,TRUE,NA,0.261316774536483,0.116003366776879,NA,1.80521537593534,NA,0.24,0.16,0.15,0.15,0.1,0.09,0.06,0.04,0,0.01,0.18795486900051,0.00754262300996405,0.0301108907132385,0.0541668810816961,0.0772785662174508,0.530783542587429,0.526800058420572,NA,4.99596633052535,NA,0,0,0,0.0458333333333333,0.266666666666667,0.5,0.1875,0,0,0,1.03,0.38,0.12
"YKIC110911Loc_DoubleSound",500,-24,27.2877,0.3184,0.2037,0.928201648,0.009274317,0.00873073,0.053793304,"Mixture",0.928201648,0.33,0.89,0.2,0.28,0.27,0,0,7,0,0,8,6,0,1,0,0,0,0,TRUE,NA,0.0451904498776646,0.0211092154246951,0.176678354639727,8.05059184250084,1.41013744822084,0.73,0.17,0.06,0,0.02,0,0,0.02,0,0,0.025474814783682,0.0359952789648995,0.0120240631103197,0.116001133605115,0.13150042351402,0.954739859563486,0.956481272013088,0.883836200257715,30.337922631086,1.82956606812289,0,0,0.0611111111111111,0.00555555555555556,0,0,0,0,0.0666666666666667,0.866666666666667,0.15,0.06,0.02
"YKIC090911_1Loc_DoubleSound",903,-24,27.2229,0.1458,0.1618,0.067088887,0.925300376,3.07e-05,0.00758004,"Average",0.925300376,0.6,0.72,0.28,0.32,0.64,0,0,8,0,0,0,1,2,3,2,4,0,0,TRUE,NA,0.213866969871546,0.145485224006797,0.725207525991289,2.10136674976106,0.390327012366266,0.23,0.22,0.19,0.12,0.09,0.05,0.03,0.05,0.02,0,0.114674168088783,0.0211941156770138,0.0324720637206225,0.10879877814509,0.0225433812469273,0.77444497719799,0.837305789987067,0.459829460825232,3.49664515033429,2.00333719852754,0,0,0,0.0173611111111111,0.256944444444444,0.0590277777777778,0.03125,0.1875,0.447916666666667,0,0.85,0.35,0.13
"YKIC141016Loc_DoubleSound",500,-24,231.5399,0.1947,0.6164,0.012925303,0.922684066,0.001033537,0.063357094,"Average",0.922684066,0.41,0.94,0.29,0.6,0.28,0,0,22,6,6,0,3,2,1,3,2,3,1,TRUE,1,0.183931202203831,0.0630454608726537,0.74313272237922,2.2133447664739,0.319822913730181,0.34,0.21,0.18,0.06,0.07,0.04,0.03,0.04,0.03,0,0.00338324544829471,0.0167917120884706,0.1764159090167,0.222213979090063,0.0381279689762516,0.688392515936106,0.665694934249704,0.976880408424133,3.4493835849104,2.85977984527612,0,0,0,0,0.00925925925925926,0.188888888888889,0.344444444444444,0.198148148148148,0,0.259259259259259,0.68,0.28,0.12
"YKIC092311_1Loc_DoubleSound",1100,24,42.9195,0.572,0.4985,0.017156948,0.92196128,9.92e-05,0.06078258,"Average",0.92196128,0.65,0.2,0.29,0.27,0.77,0,0,7,0,0,1,2,0,0,0,1,1,4,TRUE,NA,0.24996360187311,0.140153398480733,NA,1.90223434670083,NA,0.18,0.21,0.15,0.14,0.13,0.1,0.07,0.02,0,0,0.0594628302871987,0.0136812952779813,0.260011007597224,0.00996902545738151,0.0212183731920933,0.477947947009095,0.501579099086862,0.182919766806687,3.50728551709049,1.61151676734863,0,0.143518518518519,0.0787037037037037,0.111111111111111,0.263888888888889,0.300925925925926,0.101851851851852,0,0,0,0.84,0.42,0.1
