"CellId","AltFreq","AltPos","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS75_Median","LS125_Median","LS200_Median","LS300_Median","LS500_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"YKIC092311_1Loc_DoubleSound",609,24,NA,0.435946103708636,0.456032370905766,0.188195110442706,1.46295677451704,1.14090929111288,0.08,0.15,0.1,0.1,0.19,0.11,0.11,0.05,0.1,0.01,0.0365826091710049,0.11506490321373,0.110613187383888,0.0307996631927669,0.0130507111674398,0.416004937557231,0.335871603276696,0.64005533272101,2.23013351815274,1.38996785125834,0,0.0297619047619048,0.178571428571429,0.25,0.160714285714286,0.0952380952380952,0.160714285714286,0.101190476190476,0.0238095238095238,0,1.18,0.71,0.29
"YKIC110911Loc_DoubleSound",500,-6,NA,0.139359117980437,0.0774633769415426,0.87038434767052,2.9054707068381,0.237038153821544,0.39,0.23,0.12,0.08,0.06,0.05,0.02,0,0.03,0.02,0.170831309060355,0.0153128614444367,0.0112903580744447,0.168985766479871,0.0903594785597598,0.845782367784582,0.90897070581085,0.0647906840724258,4.80150913806398,0.580955103720444,0.0588235294117647,0,0,0.0147058823529412,0.0269607843137255,0.0367647058823529,0.0686274509803922,0.174019607843137,0.196078431372549,0.424019607843137,0.6,0.28,0.09
"YKIC140501Loc_DoubleSound",1632,6,2,0.13833658084665,0.0233469091948609,0.442878187465422,2.17250876376123,0.829073452911044,0.44,0.1,0.12,0.06,0.08,0.09,0.08,0.03,0,0,0.015811921472736,0.0191896822469439,0.0329896033794157,0.0344615473074743,0.130215969941297,0.51290425124588,0.00579953176139097,0.59413714478905,2.06614813619469,1.48483650122371,0.411764705882353,0,0,0,0.0470588235294118,0.197058823529412,0.139705882352941,0.142647058823529,0.0617647058823529,0,0.81,0.37,0.11
"YKIC072811Loc_DoubleSound",903,24,NA,0.0100808608581723,0.0073531985398834,0.0305009011434038,66.2680102501365,9.39273942098319,1,0,0,0,0,0,0,0,0,0,0.0150709892481861,0.182617242524013,0.0198005291408806,0.0596344997886946,0.015756359061701,0.976814341216125,0.97684030811213,0.974764545021033,390.475558195466,149.881827396051,0,0,0,0,0,0,0,0,0,1,0,0,0
"YKIC090211_1Loc_DoubleSound",609,6,NA,0.136770853921663,0.0585503383388815,0.745955733180333,3.25112459549095,0.321780271044297,0.45,0.21,0.13,0.07,0.04,0.04,0.01,0.04,0.01,0,0.0391754323864508,0.0543916310777659,0.00632609612041421,0.349666324897708,0.0740662194646993,0.39119694183194,0.0606409612387668,0.435769864600691,2.33440648456828,1.84745833822635,0.346153846153846,0.0769230769230769,0.0272435897435897,0.0769230769230769,0.243589743589744,0.0528846153846154,0.0625,0.0913461538461538,0.0224358974358974,0,0.47,0.15,0.06
"YKIC140220Loc_DoubleSound",500,6,1,0.0971430086641332,0.0486475209824268,0.710938036999313,3.5300714553001,0.451968534801175,0.5,0.21,0.06,0.04,0.04,0.01,0.04,0.05,0.03,0.02,0.0938919689218935,0.0297803402996123,0.123196488073375,0.0244488256778227,0.0247491756009254,0.54721554246434,0.916529453530438,0.0364310106184614,2.0461895696939,1.13404556979251,0.25,0,0.03125,0.16875,0.05,0,0.0275,0.0225,0,0.45,0.74,0.45,0.26
"YKIC090111_1Loc_DoubleSound",1100,-6,NA,0.141349183510769,0.0963011185929828,0.448856799376266,3.2873282477486,0.699432662755822,0.32,0.29,0.14,0.1,0.08,0.02,0.03,0.01,0.01,0,0.0156581320135445,0.0213120052450494,0.0944458203478545,0.0927456192317788,0.0570941916969384,0.668726416399388,0.66697440294548,0.742798064719381,4.62429148992767,3.75928306877625,0,0,0,0,0.0833333333333333,0.0993589743589744,0.455128205128205,0.362179487179487,0,0,0.53,0.19,0.05
"YKIC140221Loc_DoubleSound",1100,-6,1,0.241774312791177,0.0985883665465386,NA,1.83708847640835,NA,0.27,0.16,0.16,0.11,0.11,0.07,0.06,0.05,0.01,0,0.0165679963120261,0.0801210259501534,0.00169510211724583,0.0636672276333543,0.464461324062163,0.612415334136443,0.872778358544357,0.367436548063089,2.33789641456815,1.53782528857555,0,0.0834821428571429,0.114285714285714,0.158482142857143,0.10625,0.0375,0.0276785714285714,0.0696428571428571,0.262946428571429,0.139732142857143,1.07,0.43,0.16
"YKIC140605Loc_DoubleSound",500,6,1,0.11305282137381,0.0545998723219422,0.71287652073879,3.52762327435868,0.196113521872544,0.46,0.23,0.13,0.09,0.02,0.03,0.01,0.02,0.01,0,0.0350922369829728,0.0384814514515162,0.0570705597311076,0.158580689623552,0.0177804683365639,0.144716455879112,0.136133190900574,0.938638071984769,19.4073370640968,4.64578371258738,0,0.8,0,0,0,0,0,0,0.005,0.195,0.61,0.15,0.05
"PSIC111010Loc_DoubleSound",609,24,NA,0.236593744191127,0.0796423540848673,0.46221681552278,1.78932764417371,1.01411575214124,0.32,0.12,0.17,0.07,0.11,0.12,0,0.06,0.02,0.01,0.0264814592831623,0.0314530913642858,0.00972620135607671,0.048170105868545,0.0971901502617646,0.309340450930466,0.273955159603186,0.687078697423681,2.35731270197634,0.910244406856275,0.025,0.175,0.2625,0.204166666666667,0.0333333333333333,0.0291666666666667,0.116666666666667,0.0541666666666667,0.0791666666666667,0.0208333333333333,0.9,0.43,0.15
