"CellId","AltFreq","AltPos","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","LS3_Median","LS5_Median","LS8_Median","LS12_Median","LS20_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"YKIC090911_1Loc_DoubleSound",903,-24,NA,0.224886773828842,0.0685951289836064,NA,2.56174766911711,NA,0.0151348810915542,0.00481206064101481,0.000680203472996597,0.0011615001334122,0.699751522100994,0.30134344398782,0.241278110539243,NA,2.59032317578649,NA,0.54776,0.2188,0.07072
"YKIC141016Loc_DoubleSound",500,-24,1,0.273859553251944,0.0874317760449146,NA,2.17555624130999,NA,0.0326704871922979,0.00976052542941219,0.000763285226387969,0.00105972081346414,0.421381467628801,0.417671321248206,0.402082158865672,NA,3.21691177294269,NA,0.72572,0.30896,0.10176
"YKIC092311_1Loc_DoubleSound",1100,24,NA,0.34831344166489,0.087278755329704,0.897847639805595,1.74656781167792,0.662795327494067,0.0435903033525165,0.0177542836043752,0.00108470386691249,0.00121161347259485,0.451418079409786,0.580842692695454,0.537975544719035,0.681920183070245,2.61686353793742,2.16849018723813,0.839,0.43232,0.1832
"PSIC111510Loc_DoubleSound",1100,-24,NA,0.218323904392975,0.0770405841867986,NA,2.69875061232466,NA,0.0217892092974078,0.00623147781326101,0.000651004862906665,0.000898469485778571,0.577662934797044,0.693352701032826,0.747257178424666,0.706640814169919,3.09460230930157,3.0752596148385,0.5756,0.21672,0.07032
"YKIC140225Loc_DoubleSound",500,6,1,0.553193167847767,0.620887654178808,0.510913512469705,1.39888602694777,1.35042190054789,0.526660673213552,0.0194662510863439,0.000513079861367898,0.000371110498316445,0.0756680200881347,0.334876745987553,0.303017530335931,0.727115987849881,4.40192568028742,0.0856619897898736,1.91976,0.98212,0.35064
"PSIC110110Loc_DoubleSound",1100,-24,NA,0.219913811599954,0.0809338343066596,NA,2.75820434771184,NA,0.018722488377603,0.00527307556165719,0.000798219950652956,0.000439754583390898,0.577602584293856,0.60717539726857,0.620309087328246,NA,3.86855595676146,NA,0.58608,0.19976,0.05456
"YKIC092311_1Loc_DoubleSound",500,6,NA,0.311806081118042,0.0985856721050488,NA,1.93988108472867,NA,0.062959431217557,0.0069609539872841,0.000728148765949744,0.00156519335758815,0.382100811408158,0.505649200584983,0.585330985166882,0.536473570649593,2.31311192183415,2.28129601005223,0.82636,0.39372,0.14956
"PSIC091710Loc_DoubleSound",1100,-24,NA,0.417030571514904,0.188609066886681,NA,1.36133555361376,NA,0.0231060711511873,0.00646703670033126,0.000716133088692008,0.00176774416987258,0.622227161879998,0.564600251606764,0.587938666583361,NA,2.03381262343086,NA,1.10152,0.56208,0.22624
"PSIC111910Loc_DoubleSound",1100,6,NA,0.307158962000157,0.0873239483935566,NA,1.95539836819524,NA,0.0290444739516782,0.0132329575720817,0.00145637658800124,0.00100703979939885,0.445759587487934,0.575471607193274,0.586254434086645,NA,2.63436805329859,NA,0.771,0.37064,0.1332
"YKIC092911_1Loc_DoubleSound",903,-6,NA,0.284491296092276,0.0788211167214488,NA,2.03937533563936,NA,0.0167114662480998,0.00648719103341883,0.000953524207478001,0.00116294836431106,0.65273719897584,0.442356863253555,0.321574479247741,0.513311142414233,2.06951867662383,1.98560278744822,0.66496,0.30724,0.11444
"PSIC111210Loc_DoubleSound",609,6,NA,0.285692362308025,0.0835427283721337,NA,2.03509161427282,NA,0.0209570360241476,0.00815394515947171,0.00117233195128846,0.00151661862814422,0.583110586686292,0.456276160338749,0.468494446784896,NA,2.0891300971765,NA,0.68324,0.31548,0.11924
"YKIC110311Loc_DoubleSound",903,24,NA,0.292937394528946,0.142198263490687,NA,2.06106484891991,NA,0.0273760494858543,0.00600872099055356,0.000486500571053763,0.000543579767319326,0.66578865356606,0.501161281294683,0.363301270918169,0.683576260823879,2.51900179836405,1.6743535692382,0.86288,0.3492,0.10252
"PSIC111510Loc_DoubleSound",1100,-6,NA,0.367253541848046,0.0921453093286989,NA,1.5812190405749,NA,0.0962653899213001,0.0253944996766678,0.00122032855646445,0.000707228730544033,0.234030876488102,0.433722734709387,0.442352645621584,NA,2.53536219387559,NA,0.93456,0.44952,0.16332
"YKIC100111Loc_DoubleSound",609,-6,NA,0.320331617652648,0.0562575427230916,NA,1.8934467737818,NA,0.584752736421002,0.0151658222558715,0.000597149502123789,0.000334671192569917,0.0955141377106664,0.630714838861563,0.64295173190858,NA,3.07272775533806,NA,0.69388,0.31876,0.114
"YKIC100111_1Loc_DoubleSound",1100,-24,NA,0.228277886128605,0.0797503470773502,NA,2.66391557772902,NA,0.022934573682315,0.00701186739991595,0.00085424953176752,0.000433831032085835,0.501733756083162,0.66076484168797,0.676883213726488,0.136331864178925,4.68743933023665,0.0264761851431491,0.62616,0.2244,0.06148
"PSIC092710Loc_DoubleSound",1100,-6,NA,0.252931611290698,0.0812470581167465,NA,2.45753895210636,NA,0.0688176180812266,0.00626552231542613,0.000417517877555421,0.000293738681554463,0.45931015181553,0.364683299490151,0.357743716628145,NA,3.96610158150553,NA,0.71156,0.2782,0.08252
"YKIC110911Loc_DoubleSound",609,-6,NA,0.241543816072261,0.0836265265619663,NA,2.52324672257663,NA,0.0286539542086146,0.00692515967541795,0.000691198554526827,0.000692904055909288,0.524003560260186,0.63775620989928,0.641285971143045,0.940425346116911,3.37252712780863,0.0905205244225742,0.65604,0.25696,0.07864
"YKIC140220Loc_DoubleSound",500,24,2,0.238971027422266,0.0511116321818396,NA,2.52664045277169,NA,0.0281812248894704,0.0163623698524211,0.00159581661163283,0.00268016798178558,0.387148717567149,0.847629634781212,0.855685257692059,0.554762276476405,5.21849923303792,0.317529599939844,0.59088,0.24192,0.08448
"PSIC091410Loc_DoubleSound",1100,-24,NA,0.3190132960613,0.0935864652405719,NA,1.9006064468589,NA,0.0810691680302713,0.00908167193956244,0.000680496407537002,0.000847588277292878,0.298322822474714,0.610316639418069,0.643356535188661,NA,3.12102379635392,NA,0.84112,0.3714,0.11904
