"X","CellId","AltFreq","AltPos","SepBF","Pval1","Pval2","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","MlpxRate","PrState1","Switch12","Switch21","ProbMlpx","PvalSep","PrBinSep","MinSampSize","Pswitch0_10","Pswitch10_20","Pswitch20_30","Pswitch30_40","Pswitch40_50","Pswitch50_60","Pswitch60_70","Pswitch70_80","Pswitch80_90","Pswitch90_100","Rule_5_5_5","PairId","Site","Alpha_mean","Alpha_Mode1","Alpha_Mode2","Alpha_ModeDen1","Alpha_ModeDen2","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS3_Median","LS5_Median","LS8_Median","LS12_Median","LS20_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
21,"YKIC140221Loc_DoubleSound",1100,-6,54.0693,0.2926,0.8532,0.99994971,5.03e-05,1.61e-11,1.99e-09,"Mixture",0.99994971,0.51,0.59,0.48,0.48,0.51,0,0,37,0,0,3,11,10,16,11,5,0,0,TRUE,1,NA,0.453727585677025,0.440428364484477,1.73829740408915,0.489777964531787,0.187005522388349,0.37926011146208,1.16353124591361,1.10042978207384,0.0702,0.113,0.11196,0.11068,0.105,0.09864,0.10076,0.09584,0.09684,0.09708,0.0596943568352213,0.0150654340207897,0.00104119978945334,0.00080613738719552,0.366598621202573,0.456848315229698,0.457174383109698,NA,2.03528738486288,NA,0.0204,0.0766,0.10944,0.1802,0.20124,0.15632,0.1218,0.08836,0.0414,0.00424,1.39364,0.75868,0.33036,0.453727585677025,0.440428364484477
22,"YKIC140605Loc_DoubleSound",500,6,14.9083,0.3277,0.1282,0.999908475,6.3e-05,2.32e-07,2.83e-05,"Mixture",0.999908475,0.29,0.32,0.37,0.27,0.19,0,0,7,1,0,4,0,0,0,0,0,0,0,TRUE,1,NA,0.385706576605382,0.347828481753396,2.16529234000697,0.460428429975408,0.247208091985329,0.564492923751664,1.2248822881611,1.05784043092017,0.07284,0.11852,0.12244,0.11672,0.11432,0.1048,0.09712,0.09284,0.08228,0.07812,0.0626765735473194,0.0133523334210315,0.000831393626034405,0.00102095876124504,0.347044677078213,0.367771910191458,0.34273417726368,NA,2.71006083866594,NA,0.00808,0.09892,0.21184,0.26412,0.20836,0.1066,0.05628,0.03172,0.012,0.00208,1.36072,0.70636,0.28376,0.385706576605382,0.347828481753396
23,"PSIC111010Loc_DoubleSound",609,24,8.285,0.4966,0.7323,0.999889755,4.05e-05,5.62e-06,6.41e-05,"Mixture",0.999889755,0.24,0.32,0.36,0.28,0.12,0.02,0.07,6,1,5,2,2,0,0,0,0,0,0,TRUE,NA,NA,0.622804943894452,0.968125892695807,0.0122227734534419,2.09831723693377,1.65424471091006,0.267220026098361,0.0571887945925357,NA,2.13226638894099,NA,0.22436,0.17836,0.14188,0.12224,0.09492,0.07744,0.06208,0.04712,0.03396,0.01764,0.0287129731425512,0.00415463633749089,0.000391451746223325,0.000793767169652645,0.737266347624869,0.622060843451709,0.664299227648024,0.564379200290384,2.39433051801146,2.33796310854324,0.01188,0.01164,0.024,0.05444,0.12716,0.22236,0.23392,0.20588,0.0962,0.01252,0.58552,0.2516,0.08192
24,"YKIC090211_1Loc_DoubleSound",500,24,45.97,0.379,0.2341,0.999816657,6.52e-05,3.26e-08,0.000118099,"Mixture",0.999816657,0.46,0.21,0.25,0.26,0.43,0,0,12,0,0,3,6,2,3,2,1,1,0,TRUE,NA,NA,0.564813552757836,0.963575568175313,0.0189843762772862,1.58564083732024,1.50113687902544,0.290881517525506,0.0566865338117127,NA,2.02982948445347,NA,0.2162,0.16344,0.13088,0.10572,0.08856,0.07552,0.06856,0.0596,0.05104,0.04048,0.061964454040086,0.00458509221463892,0.000376041001369904,0.000723580901708348,0.694258844721696,0.569892256365642,0.532714076363106,0.851767673524984,2.26623637602676,1.20741831913363,0.00552,0.03896,0.04852,0.08952,0.15752,0.22296,0.17752,0.12164,0.1142,0.02364,0.67028,0.33568,0.13116
25,"PSIC110210Loc_DoubleSound",609,6,14.6896,0.1827,0.1548,0.999816161,0.000105787,3.87e-06,7.42e-05,"Mixture",0.999816161,0.42,0.35,0.38,0.27,0.38,0,0,8,0,1,1,2,3,1,1,0,0,0,TRUE,NA,NA,0.825442011951781,0.983406386961837,0.0290599661310262,9.84646696853488,0.401040727106086,0.138970364060371,0.0294246562751714,NA,4.07910453565218,NA,0.4162,0.18724,0.117,0.08552,0.0622,0.04848,0.03324,0.025,0.01788,0.00724,0.00475019644631934,0.00165920946809798,0.00022028777298158,0.000543772549082126,0.904066294190009,0.888232752461391,0.940831968233597,0.489761946323782,6.14685821075467,0.256141172530961,0.00212,0.01136,0.02224,0.02408,0.02412,0.025,0.03592,0.08372,0.33152,0.43992,0.317,0.11604,0.037
26,"YKIC090211_1Loc_DoubleSound",500,6,110.9145,0.1851,0.1177,0.999759687,0.00016048,6.13e-08,7.98e-05,"Mixture",0.999759687,0.41,0.19,0.31,0.39,0.26,0,0,14,8,1,2,1,0,2,0,2,1,3,TRUE,NA,NA,0.714768310568251,0.963848309703363,0.0319170135653341,2.40548533128959,0.459113307487244,0.219973988701452,0.0555770826135724,NA,2.5772289242431,NA,0.26316,0.20224,0.14864,0.11224,0.08444,0.06444,0.04852,0.038,0.02348,0.01484,0.0223298630034996,0.00433412275645437,0.000928229454715108,0.000925111683307051,0.63811142154054,0.771216503590771,0.774591578776822,0.880087874369242,3.07766902409998,3.03791184124674,0.00356,0.01096,0.01548,0.02216,0.0416,0.06748,0.14784,0.27988,0.29684,0.1142,0.53288,0.20172,0.06052
27,"YKIC140219Loc_DoubleSound",1100,-6,26.1347,0.4487,0.4044,0.999731701,0.000244507,2.54e-09,2.38e-05,"Mixture",0.999731701,0.6,0.57,0.41,0.38,0.7,0,0,11,0,1,1,1,4,3,1,4,1,3,TRUE,2,NA,0.496096556108203,0.495112507370185,2.30182838556898,0.891502682972506,0.963013730031052,0.400322983478462,5.26411536885922,0.256008080864924,0.01112,0.01836,0.02196,0.02224,0.02644,0.03788,0.0632,0.10808,0.216,0.47472,0.905094143756766,0.00289215941111068,0.000135881156518212,0.000100095752819434,0.0245758968892893,0.478168455658764,0.442787723394432,0.506203264746978,3.18851903155583,3.02472969339299,0.001,0.01104,0.05604,0.18996,0.30672,0.2752,0.12096,0.02624,0.01132,0.00152,2.58584,1.90068,1.1342,0.496096556108203,0.495112507370185
28,"PSIC111710Loc_DoubleSound",500,-6,8.856,0.9124,0.4284,5.2e-05,7.46e-06,0.999730247,0.000210322,"Outside",0.999730247,0.33,0.92,0.15,0.39,0.29,0,0.02,27,0,0,7,11,0,0,0,0,0,0,TRUE,NA,NA,0.558910654218881,0.94511665749214,0.0320178959307452,1.69114277221846,1.67344963295827,0.267076261701393,0.0631165849183726,NA,2.16143961267976,NA,0.22404,0.18152,0.13784,0.11184,0.09224,0.07504,0.05924,0.04916,0.04004,0.02904,0.0107495955599616,0.00484498876530952,0.000515397066804028,0.00152726955036582,0.742902240428273,0.540214977443515,0.537658330301368,0.648495370211398,1.66885953711777,1.65866698579849,0.00848,0.05748,0.09764,0.11656,0.15148,0.16644,0.16588,0.13612,0.07748,0.02244,0.589,0.27032,0.10108
29,"PSIC051111Loc_DoubleSound",903,-24,61.9521,0.3705,0.1422,0.999633556,0.000366443,1.17e-11,9.41e-10,"Mixture",0.999633556,0.27,0.49,0.31,0.35,0.11,0,0,9,4,4,1,2,2,0,1,0,0,0,TRUE,NA,NA,0.6151714898174,0.945961207701585,0.029446802673623,1.7102169126279,1.25193559961936,0.264130077987968,0.0668559607135475,NA,2.17401963009414,NA,0.22016,0.18288,0.14424,0.11616,0.09084,0.07352,0.06068,0.04904,0.03716,0.02532,0.013941823807474,0.00427938905540422,0.000868037637911347,0.00127244293516664,0.70640474962446,0.609153543681986,0.627923730740267,NA,2.04646224537924,NA,0.00948,0.02688,0.0474,0.08668,0.12844,0.18344,0.20232,0.18464,0.11012,0.0206,0.59704,0.265,0.09488
30,"YKIC100111_1Loc_DoubleSound",500,-24,31.1806,0.1218,0.2141,0.000110218,0.999346841,4.03e-06,0.000538915,"Average",0.999346841,0.59,0.76,0.22,0.37,0.63,0,0,6,0,0,0,0,1,3,6,0,1,0,TRUE,NA,NA,0.475701743744135,0.957430100949778,0.0470311163906617,1.3081127196577,1.29363876163319,0.283405904098573,0.0663584298401973,NA,2.02619496839624,NA,0.21032,0.17564,0.13564,0.10764,0.09096,0.07952,0.06676,0.05724,0.04756,0.02872,0.0114326699406839,0.00390135711225731,0.00120590513091641,0.00236162728006766,0.708330155126079,0.470057605958077,0.447613412841589,0.146640040086078,2.16021327514314,0.728253824791359,0.0236,0.07228,0.09224,0.16168,0.21196,0.18824,0.13616,0.07552,0.03052,0.0078,0.61636,0.29416,0.11048
